Algorithm,Distribution,Input_Size,Execution_Time_s,Peak_Memory_KB,Correct
Bubble Sort,Random,100,0.00046939996536821127,0.890625,True
Bubble Sort,Random,500,0.010110000032000244,4.15234375,True
Bubble Sort,Random,1000,0.05800650001037866,8.08984375,True
Bubble Sort,Random,2000,0.19844540010672063,15.90234375,True
Bubble Sort,Random,3000,0.5621006999863312,23.71484375,True
Bubble Sort,Random,5000,1.4977134999353439,39.33984375,True
Bubble Sort,Sorted,100,1.2499978765845299e-05,0.890625,True
Bubble Sort,Sorted,500,5.089992191642523e-05,4.12109375,True
Bubble Sort,Sorted,1000,5.589995998889208e-05,8.02734375,True
Bubble Sort,Sorted,2000,0.00011310004629194736,15.83984375,True
Bubble Sort,Sorted,3000,0.00015430001076310873,23.65234375,True
Bubble Sort,Sorted,5000,0.00024089997168630362,39.27734375,True
Bubble Sort,Reverse,100,0.00048129993956536055,0.890625,True
Bubble Sort,Reverse,500,0.012574300053529441,4.15234375,True
Bubble Sort,Reverse,1000,0.08380120003130287,8.08984375,True
Bubble Sort,Reverse,2000,0.34688910003751516,15.90234375,True
Bubble Sort,Reverse,3000,0.6737709000008181,23.71484375,True
Bubble Sort,Reverse,5000,1.7349901999114081,39.33984375,True
Merge Sort,Random,100,0.00012710003647953272,1.796875,True
Merge Sort,Random,500,0.0006738000083714724,8.265625,True
Merge Sort,Random,1000,0.0031352000078186393,16.84375,True
Merge Sort,Random,2000,0.008174099959433079,33.28125,True
Merge Sort,Random,3000,0.012454499956220388,50.25,True
Merge Sort,Random,5000,0.009457599953748286,81.921875,True
Merge Sort,Sorted,100,0.00017389992717653513,1.984375,True
Merge Sort,Sorted,500,0.0005710999248549342,9.796875,True
Merge Sort,Sorted,1000,0.0017869999865069985,19.59375,True
Merge Sort,Sorted,2000,0.004707899992354214,39.125,True
Merge Sort,Sorted,3000,0.008434399962425232,58.65625,True
Merge Sort,Sorted,5000,0.013398399925790727,97.71875,True
Merge Sort,Reverse,100,0.0002098999684676528,1.984375,True
Merge Sort,Reverse,500,0.0005625999765470624,9.796875,True
Merge Sort,Reverse,1000,0.001978499931283295,19.59375,True
Merge Sort,Reverse,2000,0.004895000020042062,39.125,True
Merge Sort,Reverse,3000,0.003717100014910102,58.65625,True
Merge Sort,Reverse,5000,0.007100699935108423,97.71875,True
Quick Sort,Random,100,7.27000879123807e-05,0.859375,True
Quick Sort,Random,500,0.0003763999557122588,4.734375,True
Quick Sort,Random,1000,0.0008947999449446797,8.90625,True
Quick Sort,Random,2000,0.004364500055089593,16.71875,True
Quick Sort,Random,3000,0.006928299902938306,24.765625,True
Quick Sort,Random,5000,0.01280549995135516,40.40625,True
Quick Sort,Sorted,100,0.00012510002125054598,0.859375,True
Quick Sort,Sorted,500,0.0007294000824913383,4.4375,True
Quick Sort,Sorted,1000,0.000645600026473403,8.46875,True
Quick Sort,Sorted,2000,0.0015221000649034977,16.34375,True
Quick Sort,Sorted,3000,0.004353599972091615,24.203125,True
Quick Sort,Sorted,5000,0.006145199993625283,39.890625,True
Quick Sort,Reverse,100,8.890009485185146e-05,0.859375,True
Quick Sort,Reverse,500,0.0005854999180883169,4.9375,True
Quick Sort,Reverse,1000,0.0013611000031232834,9.09375,True
Quick Sort,Reverse,2000,0.004661199986003339,17.09375,True
Quick Sort,Reverse,3000,0.004063099971972406,25.03125,True
Quick Sort,Reverse,5000,0.014546899939887226,40.78125,True
Timsort,Random,100,1.9099912606179714e-05,0.8515625,True
Timsort,Random,500,8.859997615218163e-05,3.9765625,True
Timsort,Random,1000,9.889993816614151e-05,11.7421875,True
Timsort,Random,2000,0.0002047000452876091,23.4453125,True
Timsort,Random,3000,0.00031699996907263994,35.1953125,True
Timsort,Random,5000,0.0005477000959217548,58.5078125,True
Timsort,Sorted,100,1.9000144675374031e-06,0.8515625,True
Timsort,Sorted,500,3.900029696524143e-06,3.9765625,True
Timsort,Sorted,1000,6.800051778554916e-06,7.8828125,True
Timsort,Sorted,2000,1.179997343569994e-05,15.6953125,True
Timsort,Sorted,3000,4.930002614855766e-05,23.5078125,True
Timsort,Sorted,5000,7.849989924579859e-05,39.1328125,True
Timsort,Reverse,100,2.200016751885414e-06,0.8515625,True
Timsort,Reverse,500,9.899958968162537e-06,3.9765625,True
Timsort,Reverse,1000,1.6099889762699604e-05,7.8828125,True
Timsort,Reverse,2000,3.590004052966833e-05,15.6953125,True
Timsort,Reverse,3000,4.260009154677391e-05,23.5078125,True
Timsort,Reverse,5000,6.450002547353506e-05,39.1328125,True
